Year,Timberland,Reserved Forestland,Other forestland,,,,,,,,,
2004,"28,566,558,130","1,523,682,609","155,149,253",,,,,,,,,
2009,"30,188,127,895","1,633,854,279","152,860,138",,,,,,,,,
2014,"32,908,073,942","1,752,392,542","141,780,722",,,,,,,,,
2017,"33,359,815,871","1,779,633,106","160,127,404",,,,,,,,,
