Year,Timberland,Reserved Forestland,Other forestland,Nonforest,Non-Census water,Census water,Denied access,Hazardous,Other,,,
2004,-,-,-,-,-,-,-,-,-,,,
2009,"728,824,065","21,387,133","3,022,960","2,272,319","3,030","180,602",-,-,-,,,
2014,"736,005,437","17,577,351","3,049,103","1,702,931","-82,305","-133,945",-,-,-,,,
2017,"690,619,449","13,168,835","3,220,556","1,815,362","-1,010,367","-138,774",-,-,-,,,
