Year,Large diameter,Medium diameter,Small diameter,Nonstocked,,,,,,,,
2004,"844,450,234","645,662,084","136,155,013","6,980,040",,,,,,,,
2009,"985,294,334","666,666,366","125,911,478","11,528,894",,,,,,,,
2014,"1,374,368,831","690,468,055","194,455,412","10,855,737",,,,,,,,
2017,"1,392,572,114","677,813,212","214,639,182","10,786,850",,,,,,,,
