Year,Natural stands,Clear evidence of artificial regeneration,,,,,,,,,,
2004,"1,573,001,597","60,245,774",,,,,,,,,,
2009,"1,733,343,454","56,057,618",,,,,,,,,,
2014,"2,191,836,170","78,311,866",,,,,,,,,,
2017,"2,207,035,556","88,775,802",,,,,,,,,,
