Year,National Forest,Other federal,State and local,Private,Not available,,,,,,,
2004,,,,,,,,,,,,
2009,"34,341,024","352,877","59,976,386","168,292,642","599,533",,,,,,,
2014,"33,650,375","294,734","62,464,114","206,095,633","293,710",,,,,,,
2017,"37,702,822","277,520","69,738,406","245,629,292","1,383,925",,,,,,,
