Year,Large diameter,Medium diameter,Small diameter,Nonstocked,Not available,,,,,,,
2004,"15,112,492","19,680,021","5,507,120","368,500","222,422",,,,,,,
2009,"17,820,962","18,920,309","3,440,704","117,926","89,225",,,,,,,
2014,"19,565,417","17,386,770","4,523,247","431,271","56,833",,,,,,,
2017,"23,289,634","18,572,717","6,380,003","371,131","199,449",,,,,,,
