Year,Timberland,Reserved Forestland,Other forestland,,,,,,,,,
2004,"723,779,886","36,101,354","4,027,549",,,,,,,,,
2009,"762,194,093","39,240,648","4,144,579",,,,,,,,,
2014,"820,828,529","42,249,380","4,042,051",,,,,,,,,
2017,"827,314,655","42,831,860","4,592,578",,,,,,,,,
