Year,Timberland,Reserved Forestland,Other forestland,,,,,,,,,
2004,"36,866,365","1,714,355","299,478",,,,,,,,,
2009,"38,000,994","1,760,584","286,528",,,,,,,,,
2014,"38,913,230","1,800,510","294,579",,,,,,,,,
2017,"39,046,352","1,792,888","324,715",,,,,,,,,
