Year,Timberland,Reserved Forestland,Other forestland,,,,,,,,,
2004,"1,272,570,124","63,571,624","7,434,900",,,,,,,,,
2009,"1,337,462,046","68,880,233","7,653,896",,,,,,,,,
2014,"1,438,130,544","74,134,856","7,529,775",,,,,,,,,
2017,"1,451,805,671","75,262,873","8,517,452",,,,,,,,,
