Year,Timberland,Reserved Forestland,Other forestland,,,,,,,,,
2004,"1,522,382,032","100,187,962","10,677,376",,,,,,,,,
2009,"1,662,107,214","116,224,718","11,069,140",,,,,,,,,
2014,"2,108,320,231","150,108,111","11,719,694",,,,,,,,,
2017,"2,136,981,251","147,154,927","11,675,181",,,,,,,,,
