Year,National Forest,Other federal,State and local,Private,Not available,,,,,,,
2004,"116,328,007","2,176,413","183,918,996","619,193,326","1,661,096",,,,,,,
2009,"78,983,152","576,793","122,762,402","481,988,899","1,895,508",,,,,,,
2014,"87,612,477","423,566","122,240,663","456,832,182","1,585,502",,,,,,,
2017,"84,929,376","406,003","121,947,383","416,534,729","814,257",,,,,,,
