Year,Timberland,Reserved Forestland,Other forestland,Nonforest,Non-Census water,Census water,Denied access,Hazardous,Other,,,
2004,,,,,,,,,,,,
2009,"328,915,407","924,302","697,362","34,993,988","28,078","1,032,458",-,-,-,,,
2014,"341,528,809","379,222","1,776,100","21,093,950",-,-,-,-,-,,,
2017,"370,043,053","6,263,526","458,021","30,249,708",-,-,-,-,-,,,
